"Grant.Application.ID"	"RFCD.Code"	"RFCD.Percentage"	"SEO.Code"	"SEO.Percentage"	"Person.ID"	"Role"	"Year.of.Birth"	"Country.of.Birth"	"Home.Language"	"Dept.No."	"Faculty.No."	"With.PHD"	"No..of.Years.in.Uni.at.Time.of.Grant"	"Number.of.Successful.Grant"	"Number.of.Unsuccessful.Grant"	"A."	"A"	"B"	"C"
1892	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1921	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1924	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1948	NA	NA	NA	NA	36252	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	0	6	2	23	10	20
1955	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
1997	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2045	NA	NA	NA	NA	431937	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	NA	"Faculty31"	"Yes "	"Duration0to5"	0	0	3	6	15	1
2068	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2111	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2112	NA	NA	NA	NA	74002	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	"English"	NA	"Faculty1"	""	"DurationLT0"	0	1	0	0	0	5
2191	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2243	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2246	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2249	NA	NA	NA	NA	10987	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	NA	"Faculty46"	"Yes "	"DurationLT0"	0	0	0	0	1	0
2251	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2296	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2311	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2356	NA	NA	NA	NA	75422	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	NA	"Faculty19"	"Yes "	"DurationGT15"	0	0	0	2	1	1
2382	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2385	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2386	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2401	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2438	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2449	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2512	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2546	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2605	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2607	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2625	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2642	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2652	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2683	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2711	NA	NA	NA	NA	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	NA	"Faculty25"	"Yes "	"DurationGT15"	2	4	42	55	18	4
2726	NA	NA	NA	NA	5162	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	NA	"Faculty7"	""	"Duration0to5"	0	0	5	36	21	10
2756	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2812	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2818	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2820	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2876	NA	NA	NA	NA	79142	"CHIEF_INVESTIGATOR"	"1940"	"Australia"	NA	NA	"Faculty25"	"Yes "	"DurationGT15"	1	2	11	12	5	0
2907	NA	NA	NA	NA	498427	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	1	2	1	7	5	0
2914	NA	NA	NA	NA	19287	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	2	0	5	4	3	2
2917	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
2933	NA	NA	NA	NA	498427	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	1	2	1	7	5	0
2977	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3091	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3093	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3097	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3155	NA	NA	NA	NA	76432	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	"English"	NA	"Faculty25"	""	"Duration0to5"	1	0	26	15	9	6
3156	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3162	NA	NA	NA	NA	79122	"PRINCIPAL_SUPERVISOR"	"1950"	"Australia"	NA	NA	"Faculty25"	""	"DurationGT15"	0	1	53	14	10	9
3165	NA	NA	NA	NA	82542	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	NA	"Faculty25"	""	"Duration10to15"	1	0	19	10	4	1
3166	NA	NA	"SEO670401"	10	68467	"CHIEF_INVESTIGATOR"	"1950"	"GreatBritain"	NA	NA	"Faculty25"	""	"Duration5to10"	2	1	27	6	5	0
3168	NA	NA	NA	NA	108847	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	NA	"Faculty25"	""	"Duration0to5"	1	0	3	3	5	3
3362	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3385	NA	NA	NA	NA	49532	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	NA	"Faculty25"	""	"Duration0to5"	1	0	0	1	0	1
3402	NA	NA	NA	NA	NA	"STUD_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3448	NA	NA	NA	NA	977	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	""	"DurationUnk"	0	0	4	1	6	3
3483	NA	NA	NA	NA	32857	"DELEGATED_RESEARCHER"	"1955"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	0	0	11	21	4	3
3490	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3497	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3502	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3504	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3511	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3518	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3523	NA	NA	NA	NA	65957	"CHIEF_INVESTIGATOR"	"1950"	"NewZealand"	NA	NA	"Faculty25"	"Yes "	"Duration10to15"	0	1	2	12	15	3
3527	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3530	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3561	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3582	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3636	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3677	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3687	NA	NA	NA	NA	11327	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"DurationLT0"	0	0	0	6	13	8
3697	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3720	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3721	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3729	NA	NA	NA	NA	498427	"CHIEF_INVESTIGATOR"	"1970"	"GreatBritain"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	2	3	1	7	5	0
3738	NA	NA	NA	NA	74527	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	0	1	15	42	20	14
3760	NA	NA	NA	NA	82567	"DELEGATED_RESEARCHER"	"1955"	"Australia"	"English"	NA	"Faculty25"	"Yes "	"DurationGT15"	2	2	13	13	5	10
3806	NA	NA	NA	NA	69222	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	""	"DurationUnk"	4	6	8	17	8	3
3832	NA	NA	NA	NA	500447	"CHIEF_INVESTIGATOR"	"1955"	"WesternEurope"	NA	NA	"Faculty13"	""	"DurationUnk"	0	2	1	0	4	1
3859	NA	NA	NA	NA	78992	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	NA	"Faculty25"	"Yes "	"DurationGT15"	3	1	6	15	5	6
3863	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3882	NA	NA	NA	NA	1757	"CHIEF_INVESTIGATOR"	"1950"	"AsiaPacific"	NA	NA	"Faculty25"	""	"DurationLT0"	0	6	1	2	10	8
3885	NA	NA	NA	NA	431937	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	NA	"Faculty31"	"Yes "	"Duration0to5"	1	0	3	6	15	1
3937	NA	NA	NA	NA	647	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration10to15"	0	1	1	6	1	0
3968	NA	NA	NA	NA	32857	"DELEGATED_RESEARCHER"	"1955"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	0	0	11	21	4	3
3975	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
3977	NA	NA	NA	NA	115867	"CHIEF_INVESTIGATOR"	"1970"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration0to5"	1	0	4	6	5	13
4024	NA	NA	NA	NA	64347	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	NA	"Faculty25"	""	"DurationGT15"	1	2	5	18	25	18
4043	NA	NA	NA	NA	64347	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	NA	"Faculty25"	""	"DurationGT15"	1	2	5	18	25	18
4050	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4106	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4120	NA	NA	NA	NA	13682	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	"English"	NA	"Faculty34"	"Yes "	"Duration5to10"	1	2	1	15	1	0
4124	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4127	NA	NA	NA	NA	126917	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	"English"	NA	"Faculty31"	"Yes "	"Duration0to5"	0	0	14	4	2	2
4129	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4131	NA	NA	NA	NA	23512	"CHIEF_INVESTIGATOR"	"1945"	"Australia"	NA	NA	"Faculty1"	"Yes "	"Duration5to10"	0	3	0	0	0	0
4132	NA	NA	NA	NA	64807	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty31"	"Yes "	"DurationGT15"	3	1	16	7	18	4
4133	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4134	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4138	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4146	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4157	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4170	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4183	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4195	NA	NA	NA	NA	64807	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty31"	"Yes "	"DurationGT15"	3	1	19	8	19	8
4232	NA	NA	NA	NA	13682	"CHIEF_INVESTIGATOR"	"1965"	"WesternEurope"	"English"	NA	"Faculty34"	"Yes "	"Duration5to10"	1	2	1	19	3	2
4243	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4253	NA	NA	NA	NA	73757	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	2	1	4	5	13	5
4255	NA	NA	"SEO730210"	10	79192	"CHIEF_INVESTIGATOR"	"1950"	"Australia"	NA	NA	"Faculty25"	"Yes "	"DurationGT15"	5	7	51	81	32	6
4284	NA	NA	NA	NA	126917	"CHIEF_INVESTIGATOR"	"1975"	"Australia"	"English"	NA	"Faculty31"	"Yes "	"Duration0to5"	0	0	15	4	2	2
4329	NA	NA	NA	NA	11327	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"DurationLT0"	0	1	2	14	16	16
4332	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4344	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4350	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4380	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4393	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4437	NA	NA	NA	NA	1387892	"CHIEF_INVESTIGATOR"	"1955"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4451	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4498	NA	NA	NA	NA	20782	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty1"	""	"DurationUnk"	0	0	1	1	0	0
4534	NA	NA	NA	NA	640757	"DELEGATED_RESEARCHER"	"1950"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
4537	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4538	NA	NA	NA	NA	6747	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	"English"	NA	"Faculty31"	"Yes "	"Duration5to10"	0	5	0	1	1	2
4539	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4544	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4552	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4596	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4604	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4608	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4619	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4623	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4626	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4627	NA	NA	NA	NA	14832	"DELEGATED_RESEARCHER"	"1975"	"Australia"	NA	NA	"Faculty1"	""	"DurationLT0"	0	0	0	0	0	0
4637	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4638	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4640	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4645	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4646	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4648	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4660	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4661	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4664	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4665	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4676	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4694	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4695	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4705	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4708	NA	NA	NA	NA	495212	"CHIEF_INVESTIGATOR"	"1965"	"Australia"	NA	NA	"Faculty19"	""	"DurationLT0"	4	2	23	2	4	0
4717	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4733	NA	NA	NA	NA	65652	"CHIEF_INVESTIGATOR"	"1955"	"Australia"	NA	NA	"Faculty25"	""	"Duration10to15"	1	0	22	7	0	1
4737	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4748	NA	NA	NA	NA	NA	"STUDRES"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4752	NA	NA	NA	NA	78762	"PRINCIPAL_SUPERVISOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	0	2	17	4	10	1
4755	NA	NA	NA	NA	74047	"CHIEF_INVESTIGATOR"	"1960"	"GreatBritain"	NA	NA	"Faculty25"	"Yes "	"Duration10to15"	1	1	2	2	2	2
4760	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4767	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4775	NA	NA	NA	NA	40862	"CHIEF_INVESTIGATOR"	"1965"	NA	NA	NA	NA	""	"DurationUnk"	0	0	1	0	1	4
4819	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4849	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4864	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4870	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4880	NA	NA	NA	NA	NA	"EXT_CHIEF_INVESTIGATOR"	NA	NA	NA	NA	NA	""	"DurationUnk"	NA	NA	NA	NA	NA	NA
4882	NA	NA	NA	NA	36252	"CHIEF_INVESTIGATOR"	"1960"	"Australia"	NA	NA	"Faculty25"	"Yes "	"Duration5to10"	1	16	4	27	13	26
4886	NA	NA	NA	NA	878457	"CHIEF_INVESTIGATOR"	"1960"	NA	NA	NA	NA	""	"DurationUnk"	0	0	0	0	0	0
